externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;handlerSide;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1477";"HajduAlu_Porta";0;0;995;;1;Unknown;"";NP-T-7016;Width;false
"1478";"HajduAlu_Porta";0;0;665;;1;Unknown;"";NP-T-7016;Width;false
"1479";"HajduAlu_Porta";0;0;665;;1;Unknown;"";NP-T-7016;Width;false
"1480";"HajduAlu_Porta";0;0;995;;1;Unknown;"";NP-T-7016;Width;false
"1481";"HajduAlu_Porta";0;0;955;;1;Unknown;"";NP-T-7016;Width;false
"1482";"HajduAlu_Porta";0;0;945;;1;Unknown;"";NP-T-7016;Width;false
"1483";"HajduAlu_Porta";0;0;935;;1;Unknown;"";NP-T-7016;Width;false
"1484";"HajduAlu_Porta";0;0;965;;1;Unknown;"";NP-T-7016;Width;false
"1485";"HajduAlu_Porta";0;0;950;;1;Unknown;"";NP-T-7016;Width;false
"1486";"HajduAlu_Porta";0;0;950;;1;Unknown;"";NP-T-7016;Width;false
"1487";"HajduAlu_Porta";0;0;955;;1;Unknown;"";NP-T-7016;Width;false
"1488";"HajduAlu_Porta";0;0;945;;1;Unknown;"";NP-T-7016;Width;false
"1489";"HajduAlu_Porta";0;0;950;;1;Unknown;"";NP-T-7016;Width;false
"1490";"HajduAlu_Porta";0;0;950;;1;Unknown;"";NP-T-7016;Width;false
"1491";"HajduAlu_Porta";0;0;950;;1;Unknown;"";NP-T-7016;Width;false
"1492";"HajduAlu_Porta";0;0;955;;1;Unknown;"";NP-T-7016;Width;false
"1493";"HajduAlu_Porta";0;0;955;;1;Unknown;"";NP-T-7016;Width;false
